time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4541.970765	268.149170	0.765233	-0.043429	231
4544.053370	268.143616	0.763818	-0.043289	233
4546.136877	268.273712	0.772655	-0.043228	235
4548.222821	268.259247	0.785296	-0.041844	237
4550.307042	268.326965	0.798722	-0.041228	239
4552.392238	268.389618	0.811193	-0.039844	241
4554.477243	268.420929	0.825932	-0.038739	243
4556.563148	268.459656	0.838805	-0.038096	245
4558.648348	268.568359	0.853476	-0.037296	247
4560.734305	268.579132	0.866688	-0.036373	249
4562.819348	268.632202	0.881498	-0.035656	251
4564.902986	268.653595	0.895499	-0.034572	253
4566.988864	268.648926	0.911081	-0.033725	255
4569.074184	268.713043	0.924545	-0.033181	1
4571.159904	268.764618	0.940685	-0.031975	3
4573.244725	268.834534	0.956540	-0.031715	5
4575.329883	268.848785	0.973291	-0.030902	7
4577.414689	268.883331	0.988928	-0.030114	9
4579.498919	268.897003	1.002311	-0.029866	11
4581.583834	268.928406	1.016550	-0.029288	13
4583.669020	268.996216	1.029966	-0.028760	15
4585.753817	269.036865	1.045723	-0.028214	17
4587.838610	269.042938	1.058506	-0.027603	19
4589.923318	269.031982	1.071262	-0.027419	21
4592.008007	269.036255	1.086607	-0.026887	23
4594.092963	269.071198	1.099572	-0.026588	25
4596.178454	269.063751	1.113572	-0.025989	27
4598.263674	269.093140	1.126454	-0.025819	29
4600.348372	269.110107	1.141011	-0.025670	31
4602.433723	269.109833	1.155354	-0.025202	33
4604.518061	269.086426	1.166819	-0.024928	35
4606.603276	269.132782	1.180461	-0.024881	37
4608.688677	269.189209	1.195249	-0.025188	39
4610.774089	269.143036	1.206469	-0.024446	41
4612.859261	269.159119	1.219554	-0.024608	43
4614.944100	269.189117	1.230247	-0.024363	45
4617.028679	269.207611	1.244118	-0.024232	47
4619.113517	269.237122	1.255133	-0.024126	49
4621.198073	269.221832	1.265030	-0.024106	51
4623.282777	269.239563	1.274236	-0.024053	53
4625.367354	269.205475	1.287555	-0.024115	55
4627.451705	269.252319	1.299168	-0.024173	57
4629.536005	269.214691	1.307013	-0.023822	59
4631.620465	269.195953	1.319356	-0.023972	61
4633.706032	269.278198	1.330571	-0.024100	63
4635.790118	269.314667	1.339086	-0.024402	65
4637.874519	269.169464	1.349755	-0.024226	67
4639.958661	269.226929	1.359347	-0.024430	69
4642.042842	269.242126	1.370947	-0.024400	71
4644.127343	269.297638	1.377586	-0.024789	73
4646.211604	269.249146	1.389786	-0.024906	75
4648.295887	269.245819	1.395944	-0.025346	77
4650.379958	269.235046	1.404898	-0.025336	79
4652.464182	269.265228	1.415260	-0.025610	81
4654.547868	269.208160	1.420594	-0.025410	83
4656.632512	269.244080	1.428873	-0.025658	85
4658.716658	269.256714	1.439096	-0.025971	87
4660.800629	269.253754	1.443690	-0.026095	89
4662.884131	269.292084	1.453656	-0.026554	91
4664.967402	269.233276	1.462304	-0.026530	93
4667.051159	269.149261	1.464648	-0.026474	95
4669.135171	269.220886	1.472178	-0.026889	97
4671.219392	269.240448	1.478291	-0.027122	99
4673.303097	269.079132	1.480545	-0.027218	101
4675.386447	269.047882	1.477269	-0.027622	103
4677.469362	269.024689	1.474712	-0.027798	105
4679.552684	269.029266	1.472634	-0.028296	107
4681.635949	268.975830	1.473061	-0.028836	109
4683.719600	268.995697	1.468289	-0.029280	111
4685.803155	269.035797	1.467175	-0.029617	113
4687.886197	268.991699	1.469105	-0.030045	115
4689.969266	268.976196	1.463822	-0.030297	117
4692.052663	269.011871	1.460783	-0.030569	119
4694.136253	268.988678	1.459842	-0.031040	121
4696.219703	269.006989	1.461583	-0.031826	123
4698.303140	268.978119	1.458738	-0.032031	125
4700.386318	268.954773	1.454620	-0.032330	127
4702.469453	268.930328	1.456152	-0.032706	129
4704.552764	268.948730	1.451835	-0.033098	131
4706.636076	268.940430	1.449882	-0.033596	133
4708.719470	268.927277	1.448510	-0.033628	135
4710.802615	268.908630	1.447763	-0.034045	137
4712.885544	268.858734	1.444373	-0.034593	139
4714.968593	268.818573	1.444910	-0.035305	141
4717.051948	268.885590	1.440308	-0.035374	143
4719.135088	268.823639	1.441367	-0.035755	145
4721.218457	268.794098	1.440066	-0.035822	147
4723.301490	268.708801	1.434805	-0.035892	149
4725.384645	268.787842	1.433536	-0.036538	151
4727.467798	268.703857	1.433150	-0.036669	153
4729.550950	268.714844	1.431571	-0.037342	155
4731.634095	268.720093	1.432132	-0.038031	157
4733.717232	268.696991	1.428302	-0.038118	159
4735.800258	268.665436	1.426679	-0.038448	161
4737.883121	268.636932	1.426484	-0.038701	163
4739.965903	268.635468	1.426557	-0.039525	165
4742.049031	268.665680	1.421768	-0.039444	167
4744.131973	268.615234	1.422929	-0.039623	169
4746.214969	268.565308	1.419389	-0.039845	171
4748.297933	268.488159	1.417082	-0.040412	173
4750.380720	268.553040	1.415214	-0.040858	175
4752.463754	268.495514	1.411388	-0.041073	177
4754.546944	268.474091	1.413049	-0.040957	179
4756.629531	268.380310	1.409107	-0.041390	181
4758.712863	268.370544	1.408890	-0.041585	183
4760.795787	268.373657	1.408063	-0.041964	185
4762.879039	268.334351	1.403931	-0.042413	187
4764.962354	268.340210	1.403043	-0.042614	189
4767.045569	268.311432	1.402830	-0.042859	191
4769.128829	268.320709	1.400568	-0.043481	193
4771.211959	268.322784	1.396933	-0.043477	195
4773.295264	268.283691	1.392669	-0.043828	197
4775.378899	268.240234	1.390605	-0.044538	199
4777.462372	268.316681	1.388659	-0.044640	201
4779.546093	268.328033	1.389142	-0.045492	203
4781.629195	268.259705	1.387517	-0.045683	205
4783.712555	268.250641	1.384221	-0.045900	207
4785.795643	268.276886	1.384218	-0.046414	209
4787.878635	268.203857	1.385947	-0.046460	211
4789.961506	268.148499	1.381750	-0.046604	213
4792.044552	268.185699	1.379923	-0.047418	215
4794.127972	268.138062	1.380453	-0.047486	217
4796.211185	268.068756	1.377492	-0.047845	219
4798.294077	268.105255	1.373811	-0.048113	221
4800.376887	268.098358	1.372258	-0.047583	223
4802.460187	268.075256	1.373004	-0.048337	225
4804.543217	267.986267	1.369236	-0.048065	227
4806.626416	268.000732	1.370561	-0.049091	229
4808.709582	267.941467	1.367993	-0.048998	231
4810.792436	267.974091	1.362986	-0.049232	233
4812.875365	267.881287	1.364140	-0.049478	235
4814.958441	267.920074	1.364363	-0.049856	237
4817.041256	267.905487	1.362687	-0.050016	239
4819.124138	267.855316	1.360212	-0.050538	241
4821.207218	267.854523	1.358694	-0.050788	243
4823.289950	267.815399	1.357552	-0.051049	245
4825.373133	267.739471	1.354744	-0.051424	247
4827.455698	267.789276	1.356764	-0.051672	249
4829.539009	267.729797	1.352728	-0.052118	251
4831.621900	267.729218	1.353894	-0.052391	253
4833.704838	267.659546	1.351469	-0.052489	255
4835.787867	267.624695	1.348695	-0.052730	1
4837.871008	267.726776	1.345452	-0.052951	3
4839.954136	267.664795	1.346989	-0.053590	5
4842.037069	267.585693	1.343302	-0.054029	7
4844.120356	267.639618	1.340335	-0.054400	9
4846.203463	267.589050	1.336637	-0.054456	11
4848.286683	267.613190	1.336243	-0.054924	13
4850.369993	267.568817	1.333761	-0.054875	15
4852.453090	267.506256	1.332119	-0.054707	17
4854.536357	267.520844	1.329989	-0.055554	19
4856.619478	267.498718	1.331076	-0.055538	21
4858.702657	267.482361	1.326295	-0.055849	23
4860.785873	267.499664	1.326102	-0.056171	25
4862.869156	267.482758	1.322472	-0.056439	27
4864.952097	267.464569	1.322257	-0.056584	29
4867.035373	267.441498	1.318766	-0.056910	31
