crossing time (s)	slope (V/s)	crossing number
8639.358533	4.517281	1778
8640.377969	5.118195	1779
8641.446598	4.836260	1780
8642.455893	4.745444	1781
8643.530522	4.767921	1782
8644.539478	4.434406	1783
8645.612812	4.712498	1784
8646.623514	4.852977	1785
8647.695548	5.174890	1786
8648.708835	4.405172	1787
8649.772026	4.296676	1788
8650.795015	4.239797	1789
8651.852659	4.844298	1790
8652.883069	4.604183	1791
8653.931455	5.195895	1792
8654.970310	4.584438	1793
8656.009311	4.296302	1794
8657.058039	5.136092	1795
8658.090304	4.646823	1796
8659.143031	4.865707	1797
8660.169115	5.048313	1798
8661.226960	4.539643	1799
8662.252772	5.102334	1800
8663.310759	4.245554	1801
8664.336163	5.040722	1802
8665.394446	4.371898	1803
8666.418310	4.399719	1804
8667.476588	4.507674	1805
8668.502353	4.586554	1806
8669.558605	4.846954	1807
8670.586914	4.636579	1808
8671.638829	4.583852	1809
8672.673937	4.975629	1810
8673.719456	4.241251	1811
8674.758143	5.035353	1812
8675.799252	4.474546	1813
8676.845948	4.640178	1814
8677.878348	4.851163	1815
8678.933264	4.508664	1816
8679.957128	4.844627	1817
8681.019795	4.456078	1818
8682.035404	4.435602	1819
8683.106722	4.457148	1820
8684.115574	4.318729	1821
8685.191530	4.500809	1822
8686.198856	4.436556	1823
8687.273629	4.476061	1824
8688.281164	4.421972	1825
8689.357091	4.489774	1826
8690.367403	4.173580	1827
8691.437283	4.633563	1828
8692.453867	4.337395	1829
8693.515140	4.566119	1830
8694.540756	4.386659	1831
8695.594453	4.269296	1832
8696.626973	4.653105	1833
8697.674143	4.253490	1834
8698.713344	4.496791	1835
8699.753784	4.424093	1836
8700.799690	4.431317	1837
8701.836870	4.689133	1838
8702.884286	4.223265	1839
8703.916802	4.780760	1840
8704.968867	4.219418	1841
8705.999955	4.536388	1842
8707.051019	4.310579	1843
8708.084046	4.382319	1844
8709.132755	4.492841	1845
8710.170027	4.377260	1846
8711.212689	4.415343	1847
8712.255897	4.408685	1848
8713.292567	4.289197	1849
8714.343609	4.341365	1850
8715.369718	4.450817	1851
8716.429578	4.284594	1852
8717.449990	4.562545	1853
8718.516565	4.107022	1854
8719.530268	4.337439	1855
8720.602669	4.318761	1856
8721.609978	4.251347	1857
8722.686621	4.321469	1858
8723.694043	4.256057	1859
8724.770809	4.481185	1860
8725.778166	4.320789	1861
8726.853644	4.423768	1862
8727.863375	4.180314	1863
8728.933651	4.289772	1864
8729.947811	3.966968	1865
8731.013492	4.355101	1866
8732.032804	4.039610	1867
8733.094145	4.438000	1868
8734.120025	4.239373	1869
8735.174455	4.205844	1870
8736.206217	4.320069	1871
8737.256097	4.033410	1872
8738.290935	4.430615	1873
8739.337721	4.127663	1874
8740.375542	4.337067	1875
8741.419441	4.286685	1876
8742.458339	4.119390	1877
8743.502903	4.381497	1878
8744.543923	4.209532	1879
8745.586013	4.164638	1880
8746.626858	4.042701	1881
8747.669781	4.214339	1882
8748.707819	4.343552	1883
8749.753842	4.077917	1884
8750.788218	4.454944	1885
8751.840067	4.095090	1886
8752.870446	4.308383	1887
8753.927257	4.060226	1888
8754.950317	4.459065	1889
8756.012640	4.350939	1890
8757.029956	4.196392	1891
8758.097067	4.166803	1892
8759.109900	4.221836	1893
8760.183710	4.199796	1894
8761.189292	4.178299	1895
8762.266643	4.071593	1896
8763.271382	4.145552	1897
8764.349263	4.171091	1898
8765.352909	4.120357	1899
8766.432711	4.032537	1900
8767.436085	4.181704	1901
8768.514510	4.164456	1902
8769.521629	4.102731	1903
8770.593442	4.129383	1904
8771.604561	3.960424	1905
8772.672677	4.127684	1906
8773.694196	4.068723	1907
8774.753460	4.100092	1908
8775.776224	4.094339	1909
8776.832074	4.081332	1910
8777.860785	4.011245	1911
8778.912276	4.010599	1912
8779.946246	4.025350	1913
8780.994468	4.123216	1914
8782.029694	3.995523	1915
8783.076396	4.048372	1916
8784.111639	4.096197	1917
8785.158549	4.036674	1918
8786.195620	4.007833	1919
8787.240935	3.993111	1920
8788.275991	4.099377	1921
8789.326906	3.922974	1922
8790.356253	4.028412	1923
8791.410959	3.948735	1924
8792.435189	4.006654	1925
8793.496092	3.985591	1926
8794.514758	4.034908	1927
8795.582226	3.963682	1928
8796.595177	4.007349	1929
8797.668904	3.944634	1930
8798.674751	4.023460	1931
8799.751768	3.967472	1932
8800.755652	3.916851	1933
8801.835898	4.003730	1934
8802.837657	3.951643	1935
8803.918205	3.925374	1936
8804.919645	3.882969	1937
8806.000591	3.915502	1938
8807.003946	3.936443	1939
8808.081783	3.947335	1940
8809.087080	3.888842	1941
8810.162074	3.963277	1942
8811.170831	3.920677	1943
8812.243131	3.915437	1944
8813.255543	3.930754	1945
8814.324661	3.903241	1946
8815.340264	3.956030	1947
8816.404371	3.890856	1948
8817.423840	3.901530	1949
8818.486887	3.893479	1950
8819.507458	3.933348	1951
8820.568436	3.951583	1952
8821.590128	3.907763	1953
8822.651876	3.905718	1954
8823.670592	3.870164	1955
8824.734811	3.928947	1956
8825.752040	3.735754	1957
8826.818053	3.951078	1958
8827.834753	3.807676	1959
8828.901803	3.926214	1960
8829.915812	3.835180	1961
8830.987284	3.900152	1962
8831.996255	3.786569	1963
8833.069916	3.895791	1964
8834.077960	3.862086	1965
8835.153955	3.869619	1966
8836.157637	3.844380	1967
8837.237462	3.808802	1968
8838.240052	3.741178	1969
8839.320951	3.768361	1970
8840.322373	3.704367	1971
8841.402420	3.826725	1972
8842.404930	3.709418	1973
8843.484679	3.835222	1974
8844.488157	3.628975	1975
8845.565577	3.750179	1976
8846.573359	3.702025	1977
8847.645220	3.801153	1978
8848.658114	3.752951	1979
8849.723823	3.803000	1980
8850.742317	3.758445	1981
8851.804694	3.808219	1982
8852.827173	3.745988	1983
8853.886177	3.752328	1984
8854.912329	3.706353	1985
8855.965997	3.713661	1986
8856.995634	3.684786	1987
8858.048194	3.808921	1988
8859.076269	3.666907	1989
8860.130763	3.701349	1990
8861.160145	3.547554	1991
8862.213602	3.732656	1992
8863.242635	3.590883	1993
8864.295883	3.665904	1994
8865.323403	3.708524	1995
8866.381468	3.603541	1996
8867.404052	3.682487	1997
8868.466429	3.621541	1998
8869.483358	3.662880	1999
8870.551484	3.540238	2000
8871.563016	3.645543	2001
8872.636377	3.703060	2002
8873.644258	3.656539	2003
8874.721390	3.620594	2004
